name,source,level,school,casttime,actiontype,range,components,duration,description,spelllists
locate-animals-or-plants,Player's Handbook,2,divination,1,action,Self,"V, S, M (a bit of fur from a bloodhound)",Instantaneous,"['Describe or name a specific kind of beast or plant. Concentrating on the voice of nature in your surroundings, you learn the direction and distance to the closest creature or plant of that kind within 5 miles, if any are present.']","Bard, Druid, Ranger"
scrying,Player's Handbook,5,divination,10,minutes,Self,"V, S, M (a focus worth at least 1,000 gp, such as a crystal ball, a silver mirror, or a font filled with holy water)","Concentration, up to 10 minutes","['You can see and hear a particular creature you choose that is on the same plane of existence as you. The target must make a Wisdom saving throw, which is modified by how well you know the target and the sort of physical connection you have to it. If a target knows you’re casting this spell, it can fail the saving throw voluntarily if it wants to be observed.']","On a successful save, the target isn’t affected, and you can’t use this spell against it again for 24 hours."
skill-empowerment,Xanathar's Guide to Everything,5,transmutation,1,action,Touch,"V, S","Concentration, up to 1 hour","['Your magic deepens a creature’s understanding of its own talent. You touch one willing creature and give it expertise in one skill of your choice; until the spell ends, the creature doubles its proficiency bonus for ability checks it makes that use the chosen skill.']","You must choose a skill in which the target is proficient and that isn’t already benefiting from an effect, such as Expertise, that doubles its proficiency bonus."
aura-of-vitality,Player's Handbook,3,evocation,1,action,Self (30-foot radius),V,"Concentration, up to 1 minute","['Healing energy radiates from you in an aura with a 30-foot radius. Until the spell ends, the aura moves with you, centered on you. You can use a bonus action to cause one creature in the aura (including you) to regain 2d6 hit points.']","Cleric (Optional), Druid (Optional), Paladin"
id-insinuation,"Unearthed Arcana 66 - Fighter, Rogue, and Wizard",1,enchantment,1,action,60 feet,"V, S","Concentration, up to 1 minute","['You unleash a torrent of conflicting desires in the mind of one creature you can see within range, impairing its ability to make decisions. The target must succeed on a Wisdom saving throw or be incapacitated. At the end of each of its turns, it takes 1d12 psychic damage, and it can then make another Wisdom saving throw. On a success, the spell ends on the target.']","Sorcerer, Warlock, Wizard"
sudden-awakening,Unearthed Arcana 36 - Starter Spells,1,enchantment,1,action,10 feet,V,Instantaneous,"['Each sleeping creature you choose within range awakens, and then each prone creature within range can stand up without expending any movement.']","Bard, Ranger, Sorcerer, Wizard"
protection-from-evil-and-good,Player's Handbook,1,abjuration,1,action,Touch,"V, S, M (holy water or powdered silver and iron, which the spell consumes)","Concentration, up to 10 minutes","['Until the spell ends, one willing creature you touch is protected against certain types of creatures: aberrations, celestials, elementals, fey, fiends, and undead.']","The protection grants several benefits. Creatures of those types have disadvantage on attack rolls against the target. The target also can't be charmed, frightened, or possessed by them. If the target is already charmed, frightened, or possessed by such a creature, the target has advantage on any new saving throw against the relevant effect."
prestidigitation,Player's Handbook,0,cantrip,1,action,10 feet,"V, S",Up to 1 hour,['This spell is a minor magical trick that novice spellcasters use for practice. You create one of the following magical effects within range:'],"If you cast this spell multiple times, you can have up to three of its non-instantaneous effects active at a time, and you can dismiss such an effect as an action."
galders-tower,Lost Laboratory of Kwalish,3,conjuration,10,minutes,30 feet,"V, S, M (a fragment of stone, wood, or other building material)",24 hours,"['You conjure a two-story tower made of stone, wood, or similar suitably sturdy materials. The tower can be round or square in shape. Each level of the tower is 10 feet tall and has an area of up to 100 square feet. Access between levels consists of a simple ladder and hatch. Each level takes one of the following forms, chosen by you when you cast the spell:']","The interior of the tower is warm and dry, regardless of conditions outside. Any equipment or furnishings conjured with the tower dissipate into smoke if removed from it. At the end of the spell’s duration, all creatures and objects within the tower that were not created by the spell appear safely outside on the ground, and all traces of the tower and its furnishings disappear."
dimension-door,Player's Handbook,4,conjuration,1,action,500 feet,V,Instantaneous,"['You teleport yourself from your current location to any other spot within range. You arrive at exactly the spot desired. It can be a place you can see, one you can visualize, or one you can describe by stating distance and direction, such as ""200 feet straight downward"" or ""upward to the northwest at a 45-degree angle, 300 feet"".']",You can bring along objects as long as their weight doesn’t exceed what you can carry. You can also bring one willing creature of your size or smaller who is carrying gear up to its carrying capacity. The creature must be within 5 feet of you when you cast this spell.
word-of-recall,Player's Handbook,6,conjuration,1,action,5 feet,V,Instantaneous,"['You and up to five willing creatures within 5 feet of you instantly teleport to a previously designated sanctuary. You and any creatures that teleport with you appear in the nearest unoccupied space to the spot you designated when you prepared your sanctuary (see below). If you cast this spell without first preparing a sanctuary, the spell has no effect.']","You must designate a sanctuary by casting this spell within a location, such as a temple, dedicated to or strongly linked to your deity. If you attempt to cast the spell in this manner in an area that isn’t dedicated to your deity, the spell has no effect."
find-the-path,Player's Handbook,6,divination,1,minute,Self,"V, S, M (a set of divinatory tools – such as bones, ivory sticks, cards, teeth, or carved runes – worth 100 gp, and an object from the location you wish to find)","Concentration, up to 1 day","['This spell allows you to find the shortest, most direct physical route to a specific fixed location that you are familiar with on the same plane of existence. If you name a destination on another plan of existence, a destination that moves (such as a mobile fortress), or a destination that isn’t specific (such as ""a green dragon’s lair”), the spell fails.']","For the duration, as long as you are on the same plane of existence as the destination, you know how far it is and in what direction it lies. While you are traveling there, whenever you are presented with a choice of paths along the way, you automatically determine which path is the shortest and most direct route (but not necessarily the safest route) to the destination."
summon-beast,Tasha's Cauldron of Everything,2,conjuration,1,action,90 feet,"V, S, M (a feather, tuft of fur, and fish tail inside a gilded acorn worth at least 200 gp)","Concentration, up to 1 hour","['You call forth a bestial spirit. It manifests in an unoccupied space that you can see within range. This corporeal form uses the Bestial Spirit stat block. When you cast the spell, choose an environment: Air, Land, or Water. The creature resembles an animal of your choice that is native to the chosen environment, which determines certain traits in its stat block. The creature disappears when it drops to 0 hit points or when the spell ends.']","The creature is an ally to you and your companions. In combat, the creature shares your initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don’t issue any, it takes the Dodge action and uses its move to avoid danger."
arcane-hacking,Unearthed Arcana 7 - Modern Magic,2,transmutation,1,action,Self,"V, S, M (hacking tools)","Concentration, up to 1 hour",['You gain advantage on all Intelligence checks using hacking tools to break software encryption or online security when using a foreign system.'],This spell also allows you to break 2nd level and lower protective spells such as Arcane Lock or Glyph of Warding by making an Intelligence check using hacking tools against the spell save DC of the spell’s caster.
confusion,Player's Handbook,4,enchantment,1,action,90 feet,"V, S, M (three nut shells)","Concentration, up to 1 minute","['This spell assaults and twists creatures’ minds, spawning delusions and provoking uncontrolled actions. Each creature in a 10-foot-radius sphere centered on a point you choose within range must succeed on a Wisdom saving throw when you cast this spell or be affected by it.']",An affected target can’t take reactions and must roll a d10 at the start of each of its turns to determine its behavior for that turn.
infestation,Xanathar's Guide to Everything,0,cantrip,1,action,30 feet,"V, S, M (a living flea)",Instantaneous,"[""You cause a cloud of mites, fleas, and other parasites to appear momentarily on one creature you can see within range. The target must succeed on a Constitution saving throw, or it takes 1d6 poison damage and moves 5 feet in a random direction if it can move and its speed is at least 5 feet. Roll a d4 for the direction: 1, north; 2, south; 3, east; or 4, west. This movement doesn’t provoke opportunity attacks, and if the direction rolled is blocked, the target doesn't move.""]","At Higher Levels. The spell’s damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6)."
freedom-of-the-waves,Tal'Dorei Campaign Setting Reborn,3,conjuration,1,action,120 feet,"V, S, M (a strand of wet hair)",Instantaneous,"['You conjure a deluge of seawater in a 15-foot-radius, 10-foot-tall cylinder centered on a point within range. This water takes the form of a tidal wave, a whirlpool, a waterspout, or another form of your choice. Each creature in the area must succeed on a Strength saving throw against your spell save DC or take 2d8 bludgeoning damage and fall prone. You can choose a number of creatures equal to your spellcasting modifier (minimum of 1) to automatically succeed on this saving throw.']","If you are within the spell’s area, as part of the action you use to cast the spell, you can vanish into the deluge and teleport to an unoccupied space that you can see within the spell’s area."
gust-of-wind,Player's Handbook,2,evocation,1,action,Self (60-foot line),"V, S, M (a legume seed)","Concentration, up to 1 minute",['A line of strong wind 60 feet long and 10 feet wide blasts from you in a direction you choose for the spell’s duration. Each creature that starts its turn in the line must succeed on a Strength saving throw or be pushed 15 feet away from you in a direction following the line.'],Any creature in the line must spend 2 feet of movement for every 1 foot it moves when moving closer to you.
tashas-hideous-laughter,Player's Handbook,1,enchantment,1,action,30 feet,"V, S, M (tiny tarts and a feather that is waved in the air)","Concentration, up to 1 minute","['A creature of your choice that you can see within range perceives everything as hilariously funny and falls into fits of laughter if this spell affects it. The target must succeed on a Wisdom saving throw or fall prone, becoming incapacitated and unable to stand up for the duration. A creature with an Intelligence score of 4 or less isn’t affected.']","At the end of each of its turns, and each time it takes damage, the target can make another Wisdom saving throw. The target has advantage on the saving throw if it’s triggered by damage. On a success, the spell ends."
ice-knife,Xanathar's Guide to Everything,1,conjuration,1,action,60 feet,"S, M (a drop of water or piece of ice)",Instantaneous,"['You create a shard of ice and fling it at one creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 piercing damage. Hit or miss, the shard then explodes. The target and each creature within 5 feet of the point where the ice exploded must succeed on a Dexterity saving throw or take 2d6 cold damage.']","At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the cold damage increases by 1d6 for each slot level above 1st."
leomunds-tiny-hut,Player's Handbook,3,evocation,1,minute,Self (10-foot-radius hemisphere),"V, S, M (a small crystal bead)",8 hours,['A 10-foot-radius immobile dome of force springs into existence around and above you and remains stationary for the duration. The spell ends if you leave its area.'],"Nine creatures of Medium size or smaller can fit inside the dome with you. The spell fails if its area includes a larger creature or more than nine creatures. Creatures and objects within the dome when you cast this spell can move through it freely. All other creatures and objects are barred from passing through it. Spells and other magical effects can't extend through the dome or be cast through it. The atmosphere inside the space is comfortable and dry, regardless of the weather outside."
ensnaring-strike,Player's Handbook,1,conjuration,1,action,Self,V,"Concentration, up to 1 minute","['The next time you hit a creature with a weapon attack before this spell ends, a writhing mass of thorny vines appears at the point of impact, and the target must succeed on a Strength saving throw or be restrained by the magical vines until the spell ends. A Large or larger creature has advantage on this saving throw. If the target succeeds on the save, the vines shrivel away.']","While restrained by this spell, the target takes 1d6 piercing damage at the start of each of its turns. A creature restrained by the vines or one that can touch the creature can use its action to make a Strength check against your spell save DC. On a success, the target is freed."
raulothims-psychic-lance,Fizban's Treasury of Dragons,4,Enchantment,1,action,120 feet,V,Instantaneous,"['You unleash a shimmering lance of psychic power from your forehead at a creature that you can see within range. Alternatively, you can utter a creature’s name. If the named target is within range, it becomes the spell’s target even if you can’t see it. If the named target isn’t within range, the lance dissipates without effect.']","The target must make an Intelligence saving throw. On a failed save, the target takes 7d6 psychic damage and is incapacitated until the start of your next turn. On a successful save, the creature takes half as much damage and isn’t incapacitated."
summon-warrior-spirit,Unearthed Arcana 85 - Wonders of the Multiverse,3,conjuration,1,action,90 feet,"V, S, M (a gilded playing card depicting a knight worth at least 300 gp)","Concentration, up to 1 hour","['You call forth a warrior spirit from the legendary Deck of Many Things. It manifests in an unoccupied space that you can see within range. This corporeal form uses the Warrior Spirit stat block. When you cast the spell, choose a type of warrior: barbarian, fighter, or monk. The warrior resembles a humanoid armed appropriately to the chosen class, which determines certain traits in its stat block. The warrior disappears when it drops to 0 hit points or when the spell ends.']","The warrior is an ally to you and your companions. In combat, the warrior shares your initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don’t issue any, it takes the Dodge action and uses its move to avoid danger."
control-flames,Xanathar's Guide to Everything,0,cantrip,1,action,60 feet,S,Instantaneous or 1 hour,['You choose nonmagical flame that you can see within range and that fits within a 5-foot cube. You affect it in one of the following ways:'],"If you cast this spell multiple times, you can have up to three of its non-instantaneous effects active at a time, and you can dismiss such an effect as an action."
storm-sphere,Xanathar's Guide to Everything,4,evocation,1,action,150 feet,"V, S","Concentration, up to 1 minute",['A 20-foot-radius sphere of whirling air springs into existence centered on a point you choose within range. The sphere remains for the spell’s duration. Each creature in the sphere when it appears or that ends its turn there must succeed on a Strength saving throw or take 2d6 bludgeoning damage. The sphere’s space is difficult terrain.'],"Until the spell ends, you can use a bonus action on each of your turns to cause a bolt of lightning to leap from the center of the sphere toward one creature you choose within 60 feet of the center. Make a ranged spell attack. You have advantage on the attack roll if the target is in the sphere. On a hit, the target takes 4d6 lightning damage."
psychic-crush,"Unearthed Arcana 66 - Fighter, Rogue, and Wizard",6,enchantment,1,action,60 feet,"V, S",1 minute,"['You overload the mind of one creature you can see within range, filling its psyche with discordant emotions. The target must make an Intelligence saving throw. On a failed save, the target takes 12d6 psychic damage and is stunned for 1 minute. On a successful save, the target takes half as much damage and isn’t stunned.']","The stunned target can make an Intelligence saving throw at the end of each of its turns. On a successful save, the spell ends on the target."
insect-plague,Player's Handbook,5,conjuration,1,action,300 feet,"V, S, M (a few grains of sugar, some kernels of grain, and a smear of fat)","Concentration, up to 10 minutes","['Swarming, biting locusts fill a 20-foot-radius sphere centered on a point you choose within range. The sphere spreads around corners. The sphere remains for the duration, and its area is lightly obscured. The sphere’s area is difficult terrain.']","When the area appears, each creature in it must make a Constitution saving throw. A creature takes 4d10 piercing damage on a failed save, or half as much damage on a successful one. A creature must also make this saving throw when it enters the spell’s area for the first time on a turn or ends its turn there."
disguise-self,Player's Handbook,1,illusion,1,action,Self,"V, S",1 hour,"['You make yourself – including your clothing, armor, weapons, and other belongings on your person – look different until the spell ends or until you use your action to dismiss it. You can seem 1 foot shorter or taller and can appear thin, fat, or in between. You can’t change your body type, so you must adopt a form that has the same basic arrangement of limbs. Otherwise, the extent of the illusion is up to you.']","The changes wrought by this spell fail to hold up to physical inspection. For example, if you use this spell to add a hat to your outfit, objects pass through the hat, and anyone who touches it would feel nothing or would feel your head and hair. If you use this spell to appear thinner than you are, the hand of someone who reaches out to touch you would bump into you while it was seemingly still in midair. To discern that you are disguised, a creature can use its action to inspect your appearance and must succeed on an Intelligence (Investigation) check against your spell save DC."
faerie-fire,Player's Handbook,1,evocation,1,action,60 feet,V,"Concentration, up to 1 minute","['Each object in a 20-foot cube within range is outlined in blue, green, or violet light (your choice).']","Any creature in the area when the spell is cast is also outlined in light if it fails a Dexterity saving throw. For the duration, objects and affected creatures shed dim light in a 10-foot radius."
kinetic-jaunt,Strixhaven: A Curriculum of Chaos,2,Transmutation,1,action,Self,S,"Concentration, up to 1 minute","['You magically empower your movement with dancelike steps, giving yourself the following benefits for the duration:']","Artificer, Bard, Sorcerer, Wizard"
forbiddance,Player's Handbook,6,abjuration,10,minutes,Touch,"V, S, M (a sprinkling of holy water, rare incense, and powdered ruby worth at least 1,000 gp)",1 day,"['You create a ward against magical travel that protects up to 40,000 square feet of floor space to a height of 30 feet above the floor. For the duration, creatures can’t teleport into the area or use portals, such as those created by the gate spell, to enter the area. The spell proofs the area against planar travel, and therefore prevents creatures from accessing the area by way of the Astral Plane, Ethereal Plane, Feywild, Shadowfell, or the plane shift spell.']","In addition, the spell damages types of creatures that you choose when you cast it. Choose one or more of the following: celestials, elementals, fey, fiends, and undead. When a chosen creature enters the spell’s area for the first time on a turn or starts its turn there, the creature takes 5d10 radiant or necrotic damage (your choice when you cast this spell)."
mordenkainens-magnificent-mansion,Player's Handbook,7,conjuration,1,minute,300 feet,"V, S, M (a miniature portal carved from ivory, a small piece of polished marble, and a tiny silver spoon, each item worth at least 5 gp)",24 hours,"['You conjure an extradimensional dwelling in range that lasts for the duration. You choose where its one entrance is located. The entrance shimmers faintly and is 5 feet wide and 10 feet tall. You and any creature you designate when you cast the spell can enter the extradimensional dwelling as long as the portal remains open. You can open or close the portal if you are within 30 feet of it. While closed, the portal is invisible.']","Beyond the portal is a magnificent foyer with numerous chambers beyond. The atmosphere is clean, fresh, and warm."
produce-flame,Player's Handbook,0,cantrip,1,action,Self,"V, S",10 minutes,['A flickering flame appears in your hand. The flame remains there for the duration and harms neither you nor your equipment. The flame sheds bright light in a 10-foot radius and dim light for an additional 10 feet. The spell ends if you dismiss it as an action or if you cast it again.'],"You can also attack with the flame, although doing so ends the spell. When you cast this spell, or as an action on a later turn, you can hurl the flame at a creature within 30 feet of you. Make a ranged spell attack. On a hit, the target takes 1d8 fire damage."
frost-fingers,Icewind Dale - Rime of the Frostmaiden,1,evocation,1,action,Self (15-foot cone),"V, S",Instantaneous,"['Freezing cold blasts from your fingertips in a 15-foot cone. Each creature in that area must make a Constitution saving throw, taking 2d8 cold damage on a failed save, or half as much damage on a successful one.']",The cold freezes nonmagical liquids in the area that aren't being worn or carried.
invulnerability,Xanathar's Guide to Everything,9,abjuration,1,action,Self,"V, S, M (a small piece of adamantine worth at least 500 gp, which the spell consumes)","Concentration, up to 10 minutes",['You are immune to all damage until the spell ends.'],Wizard
scorching-ray,Player's Handbook,2,evocation,1,action,120 feet,"V, S",Instantaneous,"['You create three rays of fire and hurl them at targets within range. You can hurl them at one target or several. Make a ranged spell attack for each ray. On a hit, the target takes 2d6 fire damage.']","At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, you create one additional ray for each slot level above 2nd."
greater-invisibility,Player's Handbook,4,illusion,1,action,Touch,"V, S","Concentration, up to 1 minute",['You or a creature you touch becomes invisible until the spell ends. Anything the target is wearing or carrying is invisible as long as it is on the target’s person.'],"Bard, Sorcerer, Wizard"
wrathful-smite,Player's Handbook,1,evocation,1,action,Self,V,"Concentration, up to 1 minute","['The next time you hit with a melee weapon attack during this spell’s duration, your attack deals an extra 1d6 psychic damage. Additionally, if the target is a creature, it must make a Wisdom saving throw or be frightened of you until the spell ends. As an action, the creature can make a Wisdom check against your spell save DC to steel its resolve and end this spell.']",Paladin
cloudkill,Player's Handbook,5,conjuration,1,action,120 feet,"V, S","Concentration, up to 10 minutes","['You create a 20-foot-radius sphere of poisonous, yellow-green fog centered on a point you choose within range. The fog spreads around corners. It lasts for the duration or until strong wind disperses the fog, ending the spell. Its area is heavily obscured.']","When a creature enters the spell’s area for the first time on a turn or starts its turn there, that creature must make a Constitution saving throw. The creature takes 5d8 poison damage on a failed save, or half as much damage on a successful one. Creatures are affected even if they hold their breath or don’t need to breathe."
finger-of-death,Player's Handbook,7,necromancy,1,action,60 feet,"V, S",Instantaneous,"['You send negative energy coursing through a creature that you can see within range, causing it searing pain. The target must make a Constitution saving throw. It takes 7d8 + 30 necrotic damage on a failed save, or half as much damage on a successful one.']","A humanoid killed by this spell rises at the start of your next turn as a zombie that is permanently under your command, following your verbal orders to the best of its ability."
negative-energy-flood,Xanathar's Guide to Everything,5,necromancy,1,action,60 feet,"V, M (a broken bone and a square of black silk)",Instantaneous,"['You send ribbons of negative energy at one creature you can see within range. Unless the target is undead, it must make a Constitution saving throw, taking 5d12 necrotic damage on a failed save, or half as much damage on a successful one. A target killed by this damage rises up as a zombie at the start of your next turn. The zombie pursues whatever creature it can see that is closest to it. Statistics for the zombie are in the Monster Manual. If you target an undead with this spell, the target doesn’t make a saving throw. Instead, roll 5d12. The target gains half the total as temporary hit points.']","Warlock, Wizard"
summon-lesser-demons,Xanathar's Guide to Everything,3,conjuration,1,action,60 feet,"V, S, M (a vial of blood from a humanoid killed within the past 24 hours)","Concentration, up to 1 hour","['You utter foul words, summoning demons from the chaos of the Abyss. Roll on the following table to determine what appears.']","The DM chooses the demons, such as manes or dretches, and you choose the unoccupied spaces you can see within range where they appear. A summoned demon disappears when it drops to 0 hit points or when the spell ends."
reverse-gravity,Player's Handbook,7,transmutation,1,action,100 feet,"V, S, M (a lodestone and iron filings)","Concentration, up to 1 minute","['This spell reverses gravity in a 50-foot-radius, 100-foot high cylinder centered on a point within range. All creatures and objects that aren’t somehow anchored to the ground in the area fall upward and reach the top of the area when you cast this spell. A creature can make a Dexterity saving throw to grab onto a fixed object it can reach, thus avoiding the fall.']","If some solid object (such as a ceiling) is encountered in this fall, falling objects and creatures strike it just as they would during a normal downward fall. If an object or creature reaches the top of the area without striking anything, it remains there, oscillating slightly, for the duration."
message,Player's Handbook,0,cantrip,1,action,120 feet,"V, S, M (a short piece of copper wire)",1 round,['You point your finger toward a creature within range and whisper a message. The target (and only the target) hears the message and can reply in a whisper that only you can hear.'],"You can cast this spell through solid objects if you are familiar with the target and know it is beyond the barrier. Magical silence, 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood blocks the spell. The spell doesn’t have to follow a straight line and can travel freely around corners or through openings."
eyebite,Player's Handbook,6,necromancy,1,action,Self,"V, S","Concentration, up to 1 minute","['For the spell’s duration, your eyes become an inky void imbued with dread power. One creature of your choice within 60 feet of you that you can see must succeed on a Wisdom saving throw or be affected by one of the following effects of your choice for the duration. On each of your turns until the spell ends, you can use your action to target another creature but can’t target a creature again if it has succeeded on a saving throw against this casting of eyebite.']","Bard, Sorcerer, Warlock, Wizard"
hellish-rebuke,Player's Handbook,1,evocation,1,see,60 feet,"V, S",Instantaneous,"['You point your finger, and the creature that damaged you is momentarily surrounded by hellish flames. The creature must make a Dexterity saving throw. It takes 2d10 fire damage on a failed save, or half as much damage on a successful one.']","At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d10 for each slot level above 1st."
bestow-curse,Player's Handbook,3,necromancy,1,action,Touch,"V, S","Concentration, up to 1 minute","['You touch a creature, and that creature must succeed on a Wisdom saving throw or become cursed for the duration of the spell. When you cast this spell, choose the nature of the curse from the following options:']","A remove curse spell ends this effect. At the DM's option, you may choose an alternative curse effect, but it should be no more powerful than those described above. The DM has final say on such a curse's effect."
sword-burst,Tasha's Cauldron of Everything,0,cantrip,1,action,Self (5-foot radius),V,Instantaneous,['You create a momentary circle of spectral blades that sweep around you. All other creatures within 5 feet of you must succeed on a Dexterity saving throw or take 1d6 force damage.'],"At Higher Levels. This spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6)."
green-flame-blade,Tasha's Cauldron of Everything/Sword Coast Adventurer's Guide,0,cantrip,1,action,Self (5-foot radius),"S, M (a melee weapon worth at least 1 sp)",Instantaneous,"['You brandish the weapon used in the spell’s casting and make a melee attack with it against one creature within 5 feet of you. On a hit, the target suffers the weapon attack’s normal effects, and you can cause green fire to leap from the target to a different creature of your choice that you can see within 5 feet of it. The second creature takes fire damage equal to your spellcasting ability modifier.']","At Higher Levels. At 5th level, the melee attack deals an extra 1d8 fire damage to the target on a hit, and the fire damage to the second creature increases to 1d8 + your spellcasting ability modifier. Both damage rolls increase by 1d8 at 11th level (2d8 and 2d8) and 17th level (3d8 and 3d8)."
light,Player's Handbook,0,cantrip,1,action,Touch,"V, M (a firefly or phosphorescent moss)",1 hour,"['You touch one object that is no larger than 10 feet in any dimension. Until the spell ends, the object sheds bright light in a 20-foot radius and dim light for an additional 20 feet. The light can be colored as you like. Completely covering the object with something opaque blocks the light. The spell ends if you cast it again or dismiss it as an action.']","If you target an object held or worn by a hostile creature, that creature must succeed on a Dexterity saving throw to avoid the spell."
wind-wall,Player's Handbook,3,evocation,1,action,120 feet,"V, S, M (a tiny fan and a feather of exotic origin)","Concentration, up to 1 minute","['A wall of strong wind rises from the ground at a point you choose within range. You can make the wall up to 50 feet long, 15 feet high, and 1 foot thick. You can shape the wall in any way you choose so long as it makes one continuous path along the ground. The wall lasts for the duration.']","When the wall appears, each creature within its area must make a Strength saving throw. A creature takes 3d8 bludgeoning damage on a failed save, or half as much damage on a successful one."
simulacrum,Player's Handbook,7,illusion,12,hours,Touch,"V, S, M (snow or ice in quantities sufficient to made a life-size copy of the duplicated creature; some hair, fingernail clippings, or other piece of that creature’s body placed inside the snow or ice; and powdered ruby worth 1,500 gp, sprinkled over the duplicate and consumed by the spell)",Until dispelled,"['You shape an illusory duplicate of one beast or humanoid that is within range for the entire casting time of the spell. The duplicate is a creature, partially real and formed from ice or snow, and it can take actions and otherwise be affected as a normal creature. It appears to be the same as the original, but it has half the creature’s hit point maximum and is formed without any equipment. Otherwise, the illusion uses all the statistics of the creature it duplicates, except that it is a construct.']","The simulacrum is friendly to you and creatures you designate. It obeys your spoken commands, moving and acting in accordance with your wishes and acting on your turn in combat. The simulacrum lacks the ability to learn or become more powerful, so it never increases its level or other abilities, nor can it regain expended spell slots."
otilukes-resilient-sphere,Player's Handbook,4,evocation,1,action,30 feet,"V, S, M (a hemispherical piece of clear crystal and a matching hemispherical piece of gum arabic)","Concentration, up to 1 minute","['A sphere of shimmering force encloses a creature or object of Large size or smaller within range. An unwilling creature must make a Dexterity saving throw. On a failed save, the creature is enclosed for the duration.']","Nothing – not physical objects, energy, or other spell effects – can pass through the barrier, in or out, though a creature in the sphere can breathe there. The sphere is immune to all damage, and a creature or object inside can’t be damaged by attacks or effects originating from outside, nor can a creature inside the sphere damage anything outside it."
conjure-shadow-demon,Unearthed Arcana 11 - That Old Black Magic,4,conjuration,1,action,60 feet,"V, S, M (a vial of blood from an intelligent humanoid killed within the past 24 hours)","Concentration, up to 1 hour",['You summon a shadow demon that appears in an unoccupied space you can see within range. The shadow demon disappears when it drops to 0 hit points or when the spell ends.'],"Roll initiative for the shadow demon, which has its own turns. You can issue orders to the shadow demon, and it obeys you as long as it can attack a creature on each of its turns and does not start its turn in an area of bright light. If either of these conditions is not met, the shadow demon immediately makes a Charisma check contested by your Charisma check. If you fail the check, the spell no longer requires concentration and the demon is no longer under your control. The demon automatically succeeds on the check if it is more than 100 feet away from you."
mending,Player's Handbook,0,cantrip,1,minute,Touch,"V, S, M (two lodestones)",Instantaneous,"['This spell repairs a single break or tear in an object you touch, such as a broken chain link, two halves of a broken key, a torn cloak, or a leaking wineskin. As long as the break or tear is no larger than 1 foot in any dimension, you mend it, leaving no trace of the former damage.']","This spell can physically repair a magic item or construct, but the spell can’t restore magic to such an object."
feign-death,Player's Handbook,3,necromancy,1,action,Touch,"V, S, M (a pinch of graveyard dirt)",1 hour,['You touch a willing creature and put it into a cataleptic state that is indistinguishable from death.'],"For the spell’s duration, or until you use an action to touch the target and dismiss the spell, the target appears dead to all outward inspection and to spells used to determine the target’s status. The target is blinded and incapacitated, and its speed drops to 0. The target has resistance to all damage except psychic damage. If the target is diseased or poisoned when you cast the spell, or becomes diseased or poisoned while under the spell’s effect, the disease and poison have no effect until the spell ends."
grasping-vine,Player's Handbook,4,conjuration,1,action,30 feet,"V, S","Concentration, up to 1 minute","['You conjure a vine that sprouts from the ground in an unoccupied space of your choice that you can see within range. When you cast this spell, you can direct the vine to lash out at a creature within 30 feet of it that you can see. That creature must succeed on a Dexterity saving throw or be pulled 20 feet directly toward the vine.']","Until the spell ends, you can direct the vine to lash out at the same creature or another one as a bonus action on each of your turns."
catnap,Xanathar's Guide to Everything,3,Enchantment,1,action,30 feet,"S, M (a pinch of sand)",10 minutes,"['You make a calming gesture, and up to three willing creatures of your choice that you can see within range fall unconscious for the spell’s duration. The spell ends on a target early if it takes damage or someone uses an action to shake or slap it awake. If a target remains unconscious for the full duration, that target gains the benefit of a short rest, and it can’t be affected by this spell again until it finishes a long rest.']","Artificer, Bard, Sorcerer, Wizard"
glyph-of-warding,Player's Handbook,3,abjuration,1,hour,Touch,"V, S, M (incense and powdered diamond worth at least 200 gp, which the spell consumes)",Until dispelled or triggered,"['When you cast this spell, you inscribe a glyph that creates a magical effect triggered by other creatures, either upon a surface (such as a table or a section of floor or wall) or within an object that can be closed (such as a book, a scroll, or a treasure chest) to conceal the glyph. The glyph can cover an area no larger than 10 feet in diameter. If the surface or object is moved more than 10 feet from where you cast this spell, the glyph is broken, and the spell ends without being triggered.']",The glyph is nearly invisible and requires a successful Intelligence (Investigation) check against your spell save DC to be found.
rarys-telepathic-bond,Player's Handbook,5,divination,1,action,30 feet,"V, S, M (pieces of eggshell from two different kinds of creatures)",1 hour,"['You forge a telepathic link among up to eight willing creatures of your choice within range, psychically linking each creature to all the others for the duration. Creatures with Intelligence scores of 2 or less aren’t affected by this spell.']","Until the spell ends, the targets can communicate telepathically through the bond whether or not they have a common language. The communication is possible over any distance, though it can’t extend to other planes of existence."
